,title,ingredients,directions,link,source,NER
12599,Coconut Jam Cake,"[""1 c. butter"", ""2 c. sugar"", ""4 eggs"", ""1 c. buttermilk"", ""1 tsp. soda"", ""2 1/2 c. plain flour"", ""1/2 tsp. salt"", ""1 tsp. cinnamon"", ""2 tsp. allspice"", ""1 tsp. vanilla"", ""1 c. raisins"", ""1 c. blackberry jam"", ""1 c. nuts"", ""1 c. coconut""]","[""Cream butter, sugar and eggs together, then add all other ingredients."", ""Bake at 350\u00b0 for 25 to 30 minutes."", ""Makes 3 layers.""]",www.cookbooks.com/Recipe-Details.aspx?id=387048,Gathered,"[""butter"", ""sugar"", ""eggs"", ""buttermilk"", ""soda"", ""flour"", ""salt"", ""cinnamon"", ""allspice"", ""vanilla"", ""raisins"", ""blackberry jam"", ""nuts"", ""coconut""]"
14780,Tea Cakes(Old Recipe)  ,"[""1 heaping c. sugar"", ""1 c. buttermilk (scant)"", ""1/2 tsp. soda"", ""1 egg"", ""flour to make stiff dough (about 2 1/2 c.)"", ""3 heaping Tbsp. Crisco"", ""pinch of salt"", ""2 tsp. baking powder"", ""1 tsp. vanilla""]","[""Beat sugar, Crisco and egg together. Add soda and baking powder to buttermilk and stir until it foams. Add to other mixture. Add vanilla and flour."", ""Roll out and cut cookies."", ""Bake in a"", ""400\u00b0 oven.""]",www.cookbooks.com/Recipe-Details.aspx?id=1073452,Gathered,"[""sugar"", ""buttermilk"", ""soda"", ""egg"", ""flour"", ""Crisco"", ""salt"", ""baking powder"", ""vanilla""]"
15375,Banana Nut Bread,"[""1/2 c. melted butter"", ""1 3/4 c. sugar"", ""2 eggs"", ""3 medium bananas"", ""1 c. nuts"", ""2 c. flour"", ""1/2 tsp. soda"", ""2 tsp. baking powder"", ""1/2 tsp. salt"", ""1 tsp. vanilla"", ""3 Tbsp. buttermilk (or sweet milk if not available)""]","[""Mix all ingredients."", ""Mash bananas and add last so that they will not turn dark."", ""Bake at 300 degrees in a muffin tin or loaf pan.""]",www.cookbooks.com/Recipe-Details.aspx?id=72205,Gathered,"[""butter"", ""sugar"", ""eggs"", ""bananas"", ""nuts"", ""flour"", ""soda"", ""baking powder"", ""salt"", ""vanilla"", ""buttermilk""]"
15544,Sugar Cookies,"[""1 c. butter"", ""1 egg"", ""1 c. sugar"", ""2 tsp. soda"", ""2 c. flour"", ""1/2 c. buttermilk"", ""1 tsp. baking powder"", ""1 tsp. vanilla"", ""pinch of salt""]","[""Beat egg; add sugar and salt. Mix baking powder in the flour. Mix soda in buttermilk. Then pour into egg and sugar. Add butter and stir until mixed well. Add all to flour. Mix well; add flour until stiff dough. Roll real thin and sprinkle with sugar. Cut and cook in moderate oven until brown through. Makes 150 cookies.""]",www.cookbooks.com/Recipe-Details.aspx?id=119655,Gathered,"[""butter"", ""egg"", ""sugar"", ""soda"", ""flour"", ""buttermilk"", ""baking powder"", ""vanilla"", ""salt""]"
16547,Mud Cake Chocolate Sheet,"[""2 c. flour"", ""2 c. sugar"", ""4 Tbsp. cocoa"", ""1/4 tsp. salt"", ""1 tsp. cinnamon"", ""1 tsp. soda"", ""2 sticks butter"", ""1 c. water"", ""1/2 c. buttermilk"", ""2 eggs"", ""1 1/2 tsp. vanilla""]","[""Mix all dry ingredients and set aside."", ""Bring all liquid to a boil in a small saucepan."", ""Pour into dry ingredients and mix. Bake in 9 x 13-inch pan at 350\u00b0.""]",www.cookbooks.com/Recipe-Details.aspx?id=14794,Gathered,"[""flour"", ""sugar"", ""cocoa"", ""salt"", ""cinnamon"", ""soda"", ""butter"", ""water"", ""buttermilk"", ""eggs"", ""vanilla""]"
17082,Banana Loaf,"[""1 1/2 c. sugar"", ""1 1/2 c. flour"", ""1 c. nuts"", ""2 eggs"", ""4 Tbsp. buttermilk"", ""1/2 c. butter"", ""1/8 tsp. salt"", ""1 tsp. vanilla"", ""3 crushed bananas"", ""1 tsp. soda, dissolved in milk""]","[""Crush bananas in large bowl."", ""Mix in all other ingredients. Pour into lightly greased loaf pan."", ""Bake 1 hour at 350\u00b0 or until knife comes out clean.""]",www.cookbooks.com/Recipe-Details.aspx?id=277224,Gathered,"[""sugar"", ""flour"", ""nuts"", ""eggs"", ""buttermilk"", ""butter"", ""salt"", ""vanilla"", ""bananas"", ""soda""]"
17258,Irish Soda Bread,"[""2 1/2 c. flour"", ""1 c. sugar"", ""3/4 tsp. salt"", ""1/2 tsp. baking soda"", ""1 tsp. baking powder"", ""1/2 stick butter"", ""1 1/2 c. raisins"", ""1 c. buttermilk"", ""dash of nutmeg"", ""dash of cinnamon"", ""1 egg"", ""1 tsp. vanilla""]","[""Mix first 5 ingredients; cut in butter with knife or pastry cutter."", ""Add buttermilk, unbeaten egg and vanilla; also nutmeg and cinnamon."", ""Pour into greased 9-inch cake pan (round)."", ""Bake at 350\u00b0 for 50 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=628528,Gathered,"[""flour"", ""sugar"", ""salt"", ""baking soda"", ""baking powder"", ""butter"", ""raisins"", ""buttermilk"", ""nutmeg"", ""cinnamon"", ""egg"", ""vanilla""]"
20447,Rhubarb Nut Bread,"[""1 1/2 c. light brown sugar"", ""1/2 c. shortening"", ""1 egg"", ""1 c. sour milk"", ""2 1/2 c. flour"", ""1 tsp. vanilla"", ""1 tsp. soda"", ""1 tsp. salt"", ""1 1/2 c. raw, diced rhubarb"", ""1/2 c. chopped pecans"", ""1/3 c. sugar"", ""1 Tbsp. melted butter""]","[""Combine brown sugar, shortening and egg."", ""In another bowl, combine milk with vanilla."", ""Add milk mixture and sugar mixture alternately to flour, beating well after each addition."", ""Fold in rhubarb and nuts."", ""Turn batter into 2 greased and floured loaf pans."", ""Sprinkle with sugar combined with melted butter."", ""Bake at 325\u00b0 to 350\u00b0 for 45 minutes or until done.""]",www.cookbooks.com/Recipe-Details.aspx?id=209272,Gathered,"[""light brown sugar"", ""shortening"", ""egg"", ""sour milk"", ""flour"", ""vanilla"", ""soda"", ""salt"", ""rhubarb"", ""pecans"", ""sugar"", ""butter""]"
21360,Banana Bread,"[""3/4 c. butter"", ""1 1/2 c. sugar"", ""1 1/2 c. (4 to 6) mashed bananas"", ""2 eggs"", ""1 tsp. vanilla"", ""2 c. flour"", ""1 tsp. soda"", ""1 tsp. salt"", ""1/2 c. buttermilk or sour milk"", ""1/2 c. chopped nuts""]","[""Cream together butter and sugar (well)."", ""Blend in bananas, eggs and vanilla."", ""Sift together flour, soda and salt."", ""Add alternately with buttermilk, blending just until well combined. Fold in nuts, if desired."", ""Pour into 2 greased loaf pans and bake at 350\u00b0 for 1 hour.""]",www.cookbooks.com/Recipe-Details.aspx?id=253975,Gathered,"[""butter"", ""sugar"", ""bananas"", ""eggs"", ""vanilla"", ""flour"", ""soda"", ""salt"", ""buttermilk"", ""nuts""]"
21946,Chicken And Dumplings,"[""4 Tbsp. shortening or lard"", ""1 1/2 c. sifted flour"", ""1 tsp. salt"", ""1/4 tsp. soda"", ""pinch of sugar"", ""1/2 c. buttermilk"", ""1 egg, beaten"", ""1 large fryer, cut into pieces"", ""2 c. chicken stock (unsalted)"", ""2 c. water"", ""2 Tbsp. butter"", ""black pepper and salt to taste"", ""1/4 to 1 c. milk""]","[""Cut shortening into flour."", ""Combine 1 teaspoon salt, soda and sugar with flour."", ""Make a well in center of flour."", ""Add buttermilk and egg; mix as for biscuits."", ""Roll into a ball."", ""Put in freezer while chicken is cooking."", ""Simmer, do not boil, seasoned chicken in water and stock until tender."", ""Skin and debone chicken; set aside.""]",www.cookbooks.com/Recipe-Details.aspx?id=663279,Gathered,"[""shortening"", ""flour"", ""salt"", ""soda"", ""sugar"", ""buttermilk"", ""egg"", ""fryer"", ""chicken"", ""water"", ""butter"", ""black pepper"", ""milk""]"
22537,Chocolate Buttermilk Squares,"[""1 c. butter or margarine"", ""1/4 c. unsweetened cocoa"", ""1 c. water"", ""2 c. sugar"", ""2 c. flour"", ""1/2 tsp. salt"", ""1/2 c. buttermilk"", ""1 tsp. soda"", ""2 eggs, beaten"", ""1 tsp. vanilla"", ""3 to 4 drops red food coloring (optional)""]","[""In a saucepan, bring butter, cocoa and water to a boil."", ""Cool.""]",www.cookbooks.com/Recipe-Details.aspx?id=185528,Gathered,"[""butter"", ""unsweetened cocoa"", ""water"", ""sugar"", ""flour"", ""salt"", ""buttermilk"", ""soda"", ""eggs"", ""vanilla"", ""drops red food coloring""]"
23402,Buttermilk Pound Cake,"[""2 sticks butter"", ""3 c. sugar"", ""1/4 tsp. lemon flavoring"", ""1/2 tsp. butter flavoring"", ""1/4 tsp. soda"", ""1/2 tsp. salt"", ""1 tsp. vanilla"", ""5 eggs"", ""1 c. buttermilk"", ""3 c. flour""]","[""Cream butter, sugar and flavorings."", ""Separate eggs and beat the yolks."", ""Add soda, then flour and salt alternately with milk. Fold in beaten egg whites; mix.""]",www.cookbooks.com/Recipe-Details.aspx?id=951423,Gathered,"[""butter"", ""sugar"", ""lemon flavoring"", ""butter"", ""soda"", ""salt"", ""vanilla"", ""eggs"", ""buttermilk"", ""flour""]"
25361,Chocolate Sheet Cake And Icing,"[""2 c. sugar"", ""3 eggs"", ""2 c. sifted flour"", ""1/2 c. buttermilk"", ""1/2 c. butter or Crisco"", ""1 tsp. soda, dissolved in 1 c. boiling water"", ""2 sq. melted chocolate"", ""1/8 tsp. salt"", ""1 tsp. vanilla""]","[""Preheat oven to 350\u00b0."", ""Cream shortening and sugar."", ""Add unbeaten eggs, one at a time."", ""Beat well after each is added."", ""Add milk and flour alternately."", ""Add chocolate and vanilla."", ""Add water and soda last."", ""Bake at 350\u00b0 in a greased and floured 1 x 12 x 15-inch pan.""]",www.cookbooks.com/Recipe-Details.aspx?id=562627,Gathered,"[""sugar"", ""eggs"", ""flour"", ""buttermilk"", ""butter"", ""soda"", ""chocolate"", ""salt"", ""vanilla""]"
25487,Jam Cake,"[""5 eggs, beaten well"", ""2 c. sugar"", ""1 c. butter"", ""1/4 tsp. salt"", ""1 1/2 tsp. cloves"", ""1/2 tsp. nutmeg"", ""1 c. nuts"", ""1 tsp. vanilla"", ""1 tsp. soda"", ""1 c. buttermilk"", ""3 c. flour"", ""1/2 tsp. cinnamon"", ""1 1/2 tsp. allspice"", ""1 c. raisins"", ""1 c. blackberry jam""]","[""Cream butter; gradually add sugar, mixing well."", ""Add eggs and mix well."", ""Sift flour and add it to all the spices and salt. Dissolve soda in buttermilk and add to the flour mixture."", ""Add this to sugar and butter mixture and beat after each addition. Add nuts and raisins and stir in jam evenly."", ""Makes three 9-inch layers."", ""Bake at 350\u00b0 for 25 to 30 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=524136,Gathered,"[""eggs"", ""sugar"", ""butter"", ""salt"", ""cloves"", ""nutmeg"", ""nuts"", ""vanilla"", ""soda"", ""buttermilk"", ""flour"", ""cinnamon"", ""allspice"", ""raisins"", ""blackberry jam""]"
26653,7 Week Bran Muffins,"[""1 (15 oz.) Raisin Bran cereal"", ""5 eggs"", ""1 1/2 c. butter"", ""3 c. sugar"", ""3 tsp. vanilla"", ""1 qt. buttermilk"", ""5 c. flour"", ""3 tsp. salt"", ""3 tsp. soda""]","[""Mix and store up to 7 weeks in refrigerator."", ""Bake in greased muffin tins at 375\u00b0 for 12 to 17 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=262094,Gathered,"[""cereal"", ""eggs"", ""butter"", ""sugar"", ""vanilla"", ""buttermilk"", ""flour"", ""salt"", ""soda""]"
27853,Grandma Carter'S Prune Cake,"[""2 c. flour"", ""2 c. sugar"", ""1/2 c. butter or other shortening"", ""1/2 c. oil"", ""1 c. buttermilk"", ""3 eggs"", ""1 tsp. salt"", ""1 tsp. soda"", ""1 tsp. cinnamon"", ""1 tsp. nutmeg"", ""1 tsp. cloves"", ""1 tsp. vanilla"", ""1 c. cooked prunes""]","[""Sift dry ingredients together except soda."", ""Cream butter and sugar."", ""Add eggs, vanilla and oil to butter and sugar."", ""Mix soda with buttermilk."", ""Mix all ingredients."", ""Add cooked prunes."", ""Bake in a mold at 325\u00b0 for 1 hour to 1 hour and 10 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=765604,Gathered,"[""flour"", ""sugar"", ""butter"", ""oil"", ""buttermilk"", ""eggs"", ""salt"", ""soda"", ""cinnamon"", ""nutmeg"", ""cloves"", ""vanilla"", ""prunes""]"
28969,Hush Puppies,"[""2 c. cornmeal"", ""1 c. flour"", ""1/2 tsp. sugar"", ""1/2 tsp. baking powder"", ""1/2 tsp. soda"", ""1/2 tsp. salt"", ""1 egg"", ""3/4 c. boiling water"", ""1/2 c. melted butter"", ""1/2 c. buttermilk"", ""1/2 c. chopped onions""]","[""Mix all together ingredients and drop by spoonfuls in hot oil. Fry until golden brown.""]",www.cookbooks.com/Recipe-Details.aspx?id=240661,Gathered,"[""cornmeal"", ""flour"", ""sugar"", ""baking powder"", ""soda"", ""salt"", ""egg"", ""boiling water"", ""butter"", ""buttermilk"", ""onions""]"
31050,Yummy Chocolate Cake,"[""2 c. sugar"", ""1 tsp. soda"", ""1 c. butter"", ""1/2 c. cocoa"", ""2 eggs, beaten"", ""2 c. all-purpose flour"", ""1/2 tsp. salt"", ""1 c. water"", ""1/2 c. buttermilk"", ""1 tsp. vanilla""]","[""Stir together flour, sugar, soda and salt."", ""In saucepan, combine butter, water and cocoa."", ""Cook, stirring constantly until it comes to a rolling boil."", ""Add boiling mixture to dry ingredients and blend with electric mixer."", ""Stir in buttermilk, eggs and vanilla."", ""Pour into greased 13 x 9 x 2-inch or 17 x 10 x 1-inch pan."", ""Bake at 350\u00b0 for 25 to 30 minutes."", ""Leave in pan and while cake is very warm, pour warm icing over cake."", ""Serve from pan.""]",www.cookbooks.com/Recipe-Details.aspx?id=626547,Gathered,"[""sugar"", ""soda"", ""butter"", ""cocoa"", ""eggs"", ""flour"", ""salt"", ""water"", ""buttermilk"", ""vanilla""]"
32376,Old Time Cinnamon Jumbles,"[""1/2 c. soft shortening (part butter)"", ""1 c. sugar"", ""1 egg"", ""3/4 c. buttermilk"", ""1 tsp. vanilla"", ""2 c. sifted flour"", ""1/2 tsp. soda"", ""1/2 tsp. salt""]","[""Mix shortening, sugar and egg thoroughly."", ""Stir in buttermilk and vanilla. Sift dry ingredients together and stir."", ""Chill dough.""]",www.cookbooks.com/Recipe-Details.aspx?id=268271,Gathered,"[""shortening"", ""sugar"", ""egg"", ""buttermilk"", ""vanilla"", ""flour"", ""soda"", ""salt""]"
33800,Yeast Biscuits,"[""1/4 c. warm water"", ""1 tsp. sugar"", ""1 pkg. yeast"", ""3/4 c. butter, melted"", ""1 egg"", ""2 c. buttermilk"", ""2 tsp. salt"", ""5 c. flour"", ""3 tsp. baking powder"", ""1 tsp. soda""]","[""Place water, sugar and yeast in small bowl and set aside."", ""Add all the rest in a large bowl, then add items in small bowl."", ""Mix all together and set in fridge for 15 to 20 minutes."", ""Bake what you want now and leave rest in fridge; will stay good for a week."", ""Bake at 400\u00b0 for 15 to 20 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=424117,Gathered,"[""warm water"", ""sugar"", ""yeast"", ""butter"", ""egg"", ""buttermilk"", ""salt"", ""flour"", ""baking powder"", ""soda""]"
34252,Cocoa Cola Cake,"[""1 c. all-purpose flour"", ""1 c. sugar"", ""1/2 c. butter or margarine"", ""2 Tbsp. cocoa"", ""1/2 c. cola beverage"", ""1/4 c. buttermilk"", ""1 beaten egg"", ""1/2 tsp. soda"", ""1/2 tsp. vanilla"", ""2 c. miniature marshmallows""]","[""Combine flour and sugar in a 2 1/2-quart bowl; set aside. Combine butter, cocoa and cola in a 2-cup glass measuring cup. Microwave at High 2 to 2 1/2 minutes."", ""Stir cola mixture into flour and sugar."", ""Add buttermilk, egg, soda, vanilla and marshmallows; beat well."", ""Pour into a greased 13 x 9-inch baking dish."", ""Spread marshmallows evenly in batter."", ""Microwave at High 10 to 12 minutes; rotate dish 1/4 turn at 2-minute intervals."", ""Frost cake while hot with Chocolate Cola Frosting.""]",www.cookbooks.com/Recipe-Details.aspx?id=221024,Gathered,"[""flour"", ""sugar"", ""butter"", ""cocoa"", ""cola beverage"", ""buttermilk"", ""egg"", ""soda"", ""vanilla"", ""marshmallows""]"
35500,Tea Cakes,"[""1/2 c. shortening"", ""1 1/2 c. sugar"", ""1/2 c. buttermilk"", ""1/4 tsp. salt"", ""1 egg"", ""1 tsp. vanilla"", ""1 tsp. soda"", ""3 or 4 c. flour (enough to make a soft dough)""]","[""Cream shortening and"", ""sugar;"", ""add egg, milk, dry ingredients and vanilla."", ""Work so"", ""you"", ""can handle by adding 3 or 4 cups flour."", ""Roll on a"", ""board 1/4 inch thick."", ""Cut and bake on greased baking sheet for about 15 minutes at 375\u00b0.""]",www.cookbooks.com/Recipe-Details.aspx?id=325026,Gathered,"[""shortening"", ""sugar"", ""buttermilk"", ""salt"", ""egg"", ""vanilla"", ""soda"", ""flour""]"
36812,Coconut Cake,"[""1 c. butter"", ""2 c. sugar"", ""7 eggs"", ""2 3/4 c. flour"", ""1 tsp. baking powder"", ""1 tsp. soda"", ""dash of salt"", ""1 c. buttermilk"", ""2 Tbsp. vegetable oil"", ""1 tsp. vanilla"", ""1 tsp. coconut extract""]","[""Cream the butter; gradually add the sugar and beat 10 to 15 minutes at medium speed."", ""Add eggs, one at a time, beating well after each addition.""]",www.cookbooks.com/Recipe-Details.aspx?id=942838,Gathered,"[""butter"", ""sugar"", ""eggs"", ""flour"", ""baking powder"", ""soda"", ""salt"", ""buttermilk"", ""vegetable oil"", ""vanilla"", ""coconut extract""]"
37509,Chocolate Zucchini Cake,"[""2 1/2 c. sifted flour"", ""1/2 c. baking cocoa"", ""1 tsp. soda"", ""1 tsp. salt"", ""1/2 c. butter"", ""1/2 c. oil"", ""1 3/4 c. sugar"", ""1 tsp. vanilla"", ""1/2 c. buttermilk"", ""2 c. unpeeled, grated zucchini"", ""1 (6 oz.) pkg. chocolate chips"", ""3/4 c. nuts, chopped"", ""2 eggs""]","[""Sift first 4 ingredients; set aside."", ""Cream butter, oil and sugar until light."", ""On medium speed, beat eggs, one at a time, beating well after each addition."", ""Blend in vanilla."", ""Add dry ingredients alternately with buttermilk to creamed mixture."", ""Beat well after each addition."", ""Stir in zucchini."", ""Pour in 13 x 9-inch pan."", ""Sprinkle with chocolate chips and nuts."", ""Bake at 325\u00b0 for 55 minutes or until cake tests done.""]",www.cookbooks.com/Recipe-Details.aspx?id=421090,Gathered,"[""flour"", ""baking cocoa"", ""soda"", ""salt"", ""butter"", ""oil"", ""sugar"", ""vanilla"", ""buttermilk"", ""zucchini"", ""chocolate chips"", ""nuts"", ""eggs""]"
